"","X.2","X.1","X","trait","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","significance"
"1",1,1,1,"chloro4","141 - 522",22.9570982,1.094257428,30.97120297,18.94235675,26.97183965,20.97961376,1.7e-18,"****"
"2",2,2,2,"chloro4","141 - (522 + 141)",0.7370982,1.094257428,30.97120297,-3.277643253,4.751839654,0.673605845,0.631947799,"ns"
"3",3,3,3,"chloro4","141 - 702A",21.9770982,1.094257428,30.97120297,17.96235675,25.99183965,20.08402926,1.7e-18,"****"
"4",4,4,4,"chloro4","141 - (702A + 141)",0.6570982,1.094257428,30.97120297,-3.357643253,4.671839654,0.600496906,0.675332036,"ns"
"5",5,5,5,"chloro4","141 - 717A",21.60352153,1.102114901,31.77886476,17.57068268,25.63636038,19.60187773,1.7e-18,"****"
"6",6,6,6,"chloro4","141 - (717A + 141)",1.201760764,1.102114901,31.77886476,-2.831078086,5.234599614,1.090413316,0.380613897,"ns"
"7",7,7,7,"chloro4","141 - 733B",21.61416755,1.102114901,31.77886476,17.5813287,25.6470064,19.61153736,1.7e-18,"****"
"8",8,8,8,"chloro4","141 - (733B + 141)",1.2820982,1.094257428,30.97120297,-2.732643253,5.296839654,1.171660495,0.380613897,"ns"
"9",9,9,9,"chloro4","141 - ExCtrl",20.1370982,1.33696298,30.70340565,15.22740863,25.04678777,15.06182183,2.12e-15,"****"
"10",10,10,10,"chloro4","141 - InCtrl",22.82332852,1.102114901,31.77886476,18.79048967,26.85616738,20.70866523,1.7e-18,"****"
"11",11,11,11,"chloro4","522 - (522 + 141)",-22.22,1.086343124,30.16999274,-26.21680877,-18.22319123,-20.45394269,1.7e-18,"****"
"12",12,12,12,"chloro4","522 - 702A",-0.98,1.086343124,30.16999274,-4.976808766,3.016808766,-0.902109083,0.48995166,"ns"
"13",13,13,13,"chloro4","522 - (702A + 141)",-22.3,1.086343124,30.16999274,-26.29680877,-18.30319123,-20.52758424,1.7e-18,"****"
"14",14,14,14,"chloro4","522 - 717A",-1.353576672,1.094257428,30.97120297,-5.368318125,2.661164782,-1.236981936,0.359817433,"ns"
"15",15,15,15,"chloro4","522 - (717A + 141)",-21.75533744,1.094257428,30.97120297,-25.77007889,-17.74059598,-19.88137058,1.71e-18,"****"
"16",16,16,16,"chloro4","522 - 733B",-1.342930651,1.094257428,30.97120297,-5.357672105,2.671810802,-1.227252945,0.359817433,"ns"
"17",17,17,17,"chloro4","522 - (733B + 141)",-21.675,1.086343124,30.16999274,-25.67180877,-17.67819123,-19.95225957,2.63e-18,"****"
"18",18,18,18,"chloro4","522 - ExCtrl",-2.82,1.33049317,30.16999274,-7.715071038,2.075071038,-2.119514826,0.075199559,"ns"
"19",19,19,19,"chloro4","522 - InCtrl",-0.133769675,1.094257428,30.97120297,-4.148511129,3.880971778,-0.122246989,0.955617815,"ns"
"20",20,20,20,"chloro4","(522 + 141) - 702A",21.24,1.086343124,30.16999274,17.24319123,25.23680877,19.5518336,3.29e-18,"****"
"21",21,21,21,"chloro4","(522 + 141) - (702A + 141)",-0.08,1.086343124,30.16999274,-4.076808766,3.916808766,-0.073641558,0.959389611,"ns"
"22",22,22,22,"chloro4","(522 + 141) - 717A",20.86642333,1.094257428,30.97120297,16.85168187,24.88116478,19.06902598,3.29e-18,"****"
"23",23,23,23,"chloro4","(522 + 141) - (717A + 141)",0.464662564,1.094257428,30.97120297,-3.550078889,4.479404017,0.42463734,0.756571663,"ns"
"24",24,24,24,"chloro4","(522 + 141) - 733B",20.87706935,1.094257428,30.97120297,16.8623279,24.8918108,19.07875497,3.29e-18,"****"
"25",25,25,25,"chloro4","(522 + 141) - (733B + 141)",0.545,1.086343124,30.16999274,-3.451808766,4.541808766,0.501683113,0.712913152,"ns"
"26",26,26,26,"chloro4","(522 + 141) - ExCtrl",19.4,1.33049317,30.16999274,14.50492896,24.29507104,14.58105944,6.56e-15,"****"
"27",27,27,27,"chloro4","(522 + 141) - InCtrl",22.08623032,1.094257428,30.97120297,18.07148887,26.10097178,20.18376093,1.7e-18,"****"
"28",28,28,28,"chloro4","702A - (702A + 141)",-21.32,1.086343124,30.16999274,-25.31680877,-17.32319123,-19.62547516,3.29e-18,"****"
"29",29,29,29,"chloro4","702A - 717A",-0.373576672,1.094257428,30.97120297,-4.388318125,3.641164782,-0.341397428,0.800599024,"ns"
"30",30,30,30,"chloro4","702A - (717A + 141)",-20.77533744,1.094257428,30.97120297,-24.79007889,-16.76059598,-18.98578607,3.48e-18,"****"
