"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","141 - 522",22.9570982000734,1.09425742816146,30.9712029657919,18.9423567466306,26.9718396535162,20.9796137629564,1.69877409158737e-18
"2","141 - (522 + 141)",0.737098200073415,1.09425742816146,30.9712029657919,-3.27764325336941,4.75183965351624,0.673605845483606,0.631947798562471
"3","141 - 702A",21.9770982000734,1.09425742816146,30.9712029657919,17.9623567466306,25.9918396535162,20.0840292553451,1.69877409158737e-18
"4","141 - (702A + 141)",0.657098200073392,1.09425742816146,30.9712029657919,-3.35764325336943,4.67183965351622,0.600496906086743,0.675332035746164
"5","141 - 717A",21.6035215281326,1.10211490086438,31.7788647592874,17.5706826777422,25.6363603785229,19.6018777272579,1.69877409158737e-18
"6","141 - (717A + 141)",1.20176076406605,1.10211490086438,31.7788647592874,-2.83107808632432,5.23459961445642,1.09041331636431,0.38061389680286
"7","141 - 733B",21.6141675489829,1.10211490086438,31.7788647592873,17.5813286985925,25.6470063993733,19.6115373560697,1.69877409158737e-18
"8","141 - (733B + 141)",1.28209820007339,1.09425742816146,30.9712029657919,-2.73264325336943,5.29683965351622,1.17166049512457,0.38061389680286
"9","141 - ExCtrl",20.1370982000734,1.3369629803474,30.7034056512944,15.2274086333818,25.046787766765,15.0618218275879,2.11685823450669e-15
"10","141 - InCtrl",22.8233285248055,1.10211490086438,31.7788647592873,18.7904896744151,26.8561673751958,20.7086652280133,1.69877409158737e-18
"11","522 - (522 + 141)",-22.22,1.0863431241858,30.1699927381507,-26.2168087659164,-18.2231912340836,-20.4539426865279,1.69877409158737e-18
"12","522 - 702A",-0.980000000000004,1.0863431241858,30.1699927381507,-4.97680876591645,3.01680876591644,-0.902109083384225,0.489951660388177
"13","522 - (702A + 141)",-22.3,1.0863431241858,30.1699927381507,-26.2968087659165,-18.3031912340836,-20.5275842443552,1.69877409158737e-18
"14","522 - 717A",-1.35357667194084,1.09425742816146,30.9712029657916,-5.36831812538367,2.66116478150199,-1.23698193597377,0.359817433020862
"15","522 - (717A + 141)",-21.7553374360074,1.09425742816146,30.9712029657916,-25.7700788894502,-17.7405959825645,-19.8813705770863,1.71350108174547e-18
"16","522 - 733B",-1.34293065109051,1.09425742816146,30.9712029657916,-5.35767210453335,2.67181080235232,-1.22725294480922,0.359817433020862
"17","522 - (733B + 141)",-21.675,1.0863431241858,30.1699927381507,-25.6718087659165,-17.6781912340836,-19.9522595738296,2.62946195839525e-18
"18","522 - ExCtrl",-2.82,1.33049316991807,30.1699927381506,-7.71507103798911,2.07507103798911,-2.11951482635093,0.0751995593912682
"19","522 - InCtrl",-0.133769675267946,1.09425742816146,30.9712029657916,-4.14851112871078,3.88097177817489,-0.122246988528743,0.955617815018529
"20","(522 + 141) - 702A",21.24,1.0863431241858,30.1699927381507,17.2431912340835,25.2368087659164,19.5518336031437,3.28507859644628e-18
"21","(522 + 141) - (702A + 141)",-0.0800000000000226,1.0863431241858,30.1699927381507,-4.07680876591646,3.91680876591642,-0.0736415578273042,0.959389610800194
"22","(522 + 141) - 717A",20.8664233280592,1.09425742816146,30.9712029657916,16.8516818746163,24.881164781502,19.069025981499,3.28507859644628e-18
"23","(522 + 141) - (717A + 141)",0.464662563992636,1.09425742816146,30.9712029657916,-3.5500788894502,4.47940401743547,0.424637340386484,0.756571663088763
"24","(522 + 141) - 733B",20.8770693489095,1.09425742816146,30.9712029657916,16.8623278954666,24.8918108023523,19.0787549726636,3.28507859644628e-18
"25","(522 + 141) - (733B + 141)",0.544999999999977,1.0863431241858,30.1699927381507,-3.45180876591646,4.54180876591642,0.501683112698347,0.71291315158736
"26","(522 + 141) - ExCtrl",19.4,1.33049316991807,30.1699927381506,14.5049289620109,24.2950710379891,14.5810594436908,6.56461592206774e-15
"27","(522 + 141) - InCtrl",22.086230324732,1.09425742816146,30.9712029657916,18.0714888712892,26.1009717781749,20.183760928944,1.69877409158737e-18
"28","702A - (702A + 141)",-21.32,1.0863431241858,30.1699927381507,-25.3168087659165,-17.3231912340836,-19.625475160971,3.28507859644628e-18
"29","702A - 717A",-0.373576671940835,1.09425742816146,30.9712029657916,-4.38831812538367,3.641164781502,-0.341397428362454,0.800599023724477
"30","702A - (717A + 141)",-20.7753374360074,1.09425742816146,30.9712029657916,-24.7900788894502,-16.7605959825645,-18.985786069475,3.48151591746302e-18
"31","702A - 733B",-0.362930651090508,1.09425742816146,30.9712029657916,-4.37767210453334,3.65181080235233,-0.331668437197903,0.800599023724477
"32","702A - (733B + 141)",-20.695,1.0863431241858,30.1699927381507,-24.6918087659165,-16.6981912340836,-19.0501504904454,5.31583518993978e-18
"33","702A - ExCtrl",-1.84,1.33049316991807,30.1699927381506,-6.73507103798911,3.05507103798911,-1.38294584414387,0.294720042241529
"34","702A - InCtrl",0.846230324732058,1.09425742816146,30.9712029657916,-3.16851112871078,4.86097177817489,0.773337519082572,0.569423138108965
"35","(702A + 141) - 717A",20.9464233280592,1.09425742816146,30.9712029657916,16.9316818746163,24.961164781502,19.1421349208959,3.28507859644628e-18
"36","(702A + 141) - (717A + 141)",0.544662563992658,1.09425742816146,30.9712029657916,-3.47007888945017,4.55940401743549,0.497746279783346,0.71291315158736
"37","(702A + 141) - 733B",20.9570693489095,1.09425742816146,30.9712029657916,16.9423278954667,24.9718108023523,19.1518639120604,3.28507859644628e-18
"38","(702A + 141) - (733B + 141)",0.625,1.0863431241858,30.1699927381507,-3.37180876591644,4.62180876591644,0.575324670525651,0.68073040896109
"39","(702A + 141) - ExCtrl",19.48,1.33049316991807,30.1699927381506,14.5849289620109,24.3750710379891,14.641187523871,6.10314658446563e-15
"40","(702A + 141) - InCtrl",22.1662303247321,1.09425742816146,30.9712029657916,18.1514888712892,26.1809717781749,20.2568698683409,1.69877409158737e-18
"41","717A - (717A + 141)",-20.4017607640665,1.10211490086438,31.778864759287,-24.4345996144569,-16.3689219136761,-18.5114644108936,3.48151591746302e-18
"42","717A - 733B",0.0106460208503272,1.10211490086438,31.778864759287,-4.02219282954005,4.04348487124071,0.00965962881182132,0.992353238216908
"43","717A - (733B + 141)",-20.3214233280592,1.09425742816146,30.9712029657916,-24.336164781502,-16.3066818746163,-18.570971331858,5.31583518993978e-18
"44","717A - ExCtrl",-1.46642332805916,1.3369629803474,30.7034056512942,-6.37611289475075,3.44326623863242,-1.09683166221859,0.38061389680286
"45","717A - InCtrl",1.21980699667289,1.10211490086438,31.778864759287,-2.81303185371748,5.25264584706327,1.10678750075533,0.38061389680286
"46","(717A + 141) - 733B",20.4124067849168,1.10211490086438,31.778864759287,16.3795679345265,24.4452456353072,18.5211240397054,3.48151591746302e-18
"47","(717A + 141) - (733B + 141)",0.0803374360073417,1.09425742816146,30.9712029657916,-3.93440401743549,4.09507888945018,0.0734173092544799,0.959389610800194
"48","(717A + 141) - ExCtrl",18.9353374360074,1.3369629803474,30.7034056512942,14.0256478693158,23.8450270026989,14.162948200022,9.96855545567813e-15
"49","(717A + 141) - InCtrl",21.6215677607394,1.10211490086438,31.778864759287,17.588728910349,25.6544066111298,19.6182519116489,1.69877409158737e-18
"50","733B - (733B + 141)",-20.3320693489095,1.09425742816146,30.9712029657916,-24.3468108023523,-16.3173278954667,-18.5807003230226,5.31583518993978e-18
"51","733B - ExCtrl",-1.47706934890949,1.3369629803474,30.7034056512942,-6.38675891560107,3.4326202177821,-1.10479450113546,0.38061389680286
"52","733B - InCtrl",1.20916097582257,1.10211490086438,31.778864759287,-2.82367787456781,5.24199982621295,1.09712787194351,0.38061389680286
"53","(733B + 141) - ExCtrl",18.855,1.33049316991807,30.1699927381506,13.9599289620109,23.7500710379891,14.1714368974634,1.30166861183429e-14
"54","(733B + 141) - InCtrl",21.5412303247321,1.09425742816146,30.9712029657916,17.5264888712892,25.5559717781749,19.6857062793031,2.0876910647304e-18
"55","ExCtrl - InCtrl",2.68623032473205,1.3369629803474,30.7034056512941,-2.22345924195953,7.59591989142364,2.00920321969876,0.0917415518233488
