"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","141 - 522",3.53667774705529,0.558612804348247,31.0725131645246,1.48787198490728,5.58548350920329,6.33117916296539,1.63277352939483e-06
"2","141 - (522 + 141)",-0.298322252944722,0.558612804348247,31.0725131645246,-2.34712801509273,1.75048350920328,-0.534041201029727,0.729805269281059
"3","141 - 702A",4.25167774705528,0.558612804348247,31.0725131645246,2.20287198490728,6.30048350920329,7.61113550201532,1.89056546809689e-07
"4","141 - (702A + 141)",-0.043322252944719,0.558612804348247,31.0725131645247,-2.09212801509272,2.00548350920329,-0.0775532759140109,0.938680660734132
"5","141 - 717A",3.60784839363899,0.560259967829649,31.4252502780746,1.55540445936212,5.66029232791587,6.43959697426746,1.30505744388338e-06
"6","141 - (717A + 141)",1.06667774705529,0.558612804348247,31.0725131645246,-0.982128015092713,3.1154835092033,1.90951180988381,0.109111157514144
"7","141 - 733B",3.99373451001341,0.560259967829649,31.4252502780745,1.94129057573653,6.04617844429028,7.1283595818642,3.77785365007865e-07
"8","141 - (733B + 141)",0.531677747055282,0.558612804348247,31.0725131645246,-1.51712801509272,2.58048350920329,0.95178224150377,0.479260186971895
"9","141 - ExCtrl",3.47167774705529,0.683484392350977,30.9552595021918,0.963893953729868,5.97946154038071,5.07938116203909,3.77746286691497e-05
"10","141 - InCtrl",3.76995222058928,0.560259967829649,31.4252502780745,1.71750828631241,5.82239615486616,6.72893377549966,7.33534549407385e-07
"11","522 - (522 + 141)",-3.83500000000001,0.556960769544088,30.721243526953,-5.88018509244875,-1.78981490755127,-6.88558370662125,6.50965642352974e-07
"12","522 - 702A",0.714999999999997,0.556960769544088,30.721243526953,-1.33018509244874,2.76018509244874,1.2837528944548,0.328156650302678
"13","522 - (702A + 141)",-3.58,0.556960769544088,30.7212435269531,-5.62518509244875,-1.53481490755126,-6.42774176524226,1.39653262823123e-06
"14","522 - 717A",0.0711706465837079,0.558612804348244,31.0725131645245,-1.97763511556429,2.1199764087317,0.127406042306434,0.933381127124306
"15","522 - (717A + 141)",-2.46999999999999,0.556960769544088,30.7212435269531,-4.51518509244873,-0.424814907551251,-4.43478272629841,0.000215025971335903
"16","522 - 733B",0.457056762958121,0.558612804348244,31.0725131645244,-1.59174899918987,2.50586252510611,0.818199581893558,0.549310942388354
"17","522 - (733B + 141)",-3.005,0.556960769544088,30.7212435269531,-5.05018509244875,-0.959814907551261,-5.39535307389748,1.77531086079248e-05
"18","522 - ExCtrl",-0.0649999999999968,0.682134846065435,30.7212435269531,-2.56982995302313,2.43982995302313,-0.0952890771889428,0.938680660734132
"19","522 - InCtrl",0.233274473533996,0.558612804348244,31.0725131645244,-1.815531288614,2.28208023568199,0.417596001592135,0.761509366686407
"20","(522 + 141) - 702A",4.55,0.556960769544088,30.7212435269531,2.50481490755126,6.59518509244875,8.16933660107605,1.8611262945503e-07
"21","(522 + 141) - (702A + 141)",0.255000000000003,0.556960769544088,30.7212435269531,-1.79018509244874,2.30018509244875,0.457841941378992,0.760975224922071
"22","(522 + 141) - 717A",3.90617064658371,0.558612804348244,31.0725131645245,1.85736488443572,5.95497640873171,6.99262640630159,5.12846872559069e-07
"23","(522 + 141) - (717A + 141)",1.36500000000001,0.556960769544089,30.7212435269531,-0.680185092448728,3.41018509244876,2.45080098032284,0.0357499522101142
"24","(522 + 141) - 733B",4.29205676295813,0.558612804348244,31.0725131645244,2.24325100081013,6.34086252510612,7.68341994588872,1.89056546809689e-07
"25","(522 + 141) - (733B + 141)",0.830000000000004,0.556960769544088,30.721243526953,-1.21518509244874,2.87518509244875,1.49023063272377,0.23675898115899
"26","(522 + 141) - ExCtrl",3.77000000000001,0.682134846065435,30.7212435269531,1.26517004697688,6.27482995302314,5.52676647695897,1.30547362176334e-05
"27","(522 + 141) - InCtrl",4.068274473534,0.558612804348244,31.0725131645244,2.01946871138601,6.117080235682,7.28281636558729,3.58554955406715e-07
"28","702A - (702A + 141)",-4.295,0.556960769544088,30.7212435269531,-6.34018509244874,-2.24981490755126,-7.71149465969706,1.89056546809689e-07
"29","702A - 717A",-0.643829353416289,0.558612804348244,31.0725131645244,-2.69263511556428,1.4049764087317,-1.1525502967435,0.388978418535643
"30","702A - (717A + 141)",-3.18499999999999,0.556960769544088,30.7212435269531,-5.23018509244873,-1.13981490755125,-5.71853562075321,8.18039905717764e-06
"31","702A - 733B",-0.257943237041876,0.558612804348244,31.0725131645244,-2.30674899918987,1.79086252510612,-0.46175675715638,0.760975224922071
"32","702A - (733B + 141)",-3.72,0.556960769544088,30.721243526953,-5.76518509244874,-1.67481490755126,-6.67910596835228,8.6566380742304e-07
"33","702A - ExCtrl",-0.779999999999994,0.682134846065435,30.721243526953,-3.28482995302312,1.72482995302314,-1.14346892626736,0.388978418535643
"34","702A - InCtrl",-0.481725526466001,0.558612804348244,31.0725131645244,-2.53053128861399,1.56708023568199,-0.862360337457802,0.530007181500152
"35","(702A + 141) - 717A",3.65117064658371,0.558612804348244,31.0725131645245,1.60236488443572,5.6999764087317,6.53613848118587,1.12767842772598e-06
"36","(702A + 141) - (717A + 141)",1.11000000000001,0.556960769544089,30.7212435269531,-0.935185092448731,3.15518509244875,1.99295903894385,0.0948976193586897
"37","(702A + 141) - 733B",4.03705676295812,0.558612804348244,31.0725131645244,1.98825100081013,6.08586252510612,7.226932020773,3.58554955406715e-07
"38","(702A + 141) - (733B + 141)",0.575000000000001,0.556960769544088,30.7212435269531,-1.47018509244874,2.62018509244874,1.03238869134478,0.448610963893159
"39","(702A + 141) - ExCtrl",3.51500000000001,0.682134846065435,30.7212435269531,1.01017004697688,6.01982995302314,5.15294009721771,3.25213640984514e-05
"40","(702A + 141) - InCtrl",3.813274473534,0.558612804348244,31.0725131645244,1.76446871138601,5.86208023568199,6.82632844047157,6.50965642352974e-07
"41","717A - (717A + 141)",-2.5411706465837,0.558612804348244,31.0725131645244,-4.58997640873169,-0.492364884435707,-4.54907339538804,0.000157917227985079
"42","717A - 733B",0.385886116374413,0.560259967829645,31.4252502780744,-1.66655781790245,2.43833005065128,0.688762607596741,0.62003328441627
"43","717A - (733B + 141)",-3.07617064658371,0.558612804348244,31.0725131645244,-5.1249764087317,-1.02736488443572,-5.50680296376809,1.30547362176334e-05
"44","717A - ExCtrl",-0.136170646583705,0.683484392350975,30.9552595021916,-2.64395443990912,2.37161314674171,-0.199230074757552,0.892042536870275
"45","717A - InCtrl",0.162103826950288,0.560259967829646,31.4252502780744,-1.89034010732657,2.21454776122715,0.289336801232206,0.834947448134823
"46","(717A + 141) - 733B",2.92705676295811,0.558612804348244,31.0725131645244,0.87825100081012,4.97586252510611,5.23986693497516,2.56494047452411e-05
"47","(717A + 141) - (733B + 141)",-0.53500000000001,0.556960769544088,30.7212435269531,-2.58018509244875,1.51018509244873,-0.96057034759907,0.479260186971895
"48","(717A + 141) - ExCtrl",2.405,0.682134846065435,30.721243526953,-0.0998299530231344,4.90982995302313,3.52569585599105,0.00247289158379998
"49","(717A + 141) - InCtrl",2.70327447353399,0.558612804348244,31.0725131645244,0.654468711385995,4.75208023568198,4.83926335467374,7.16080096668964e-05
"50","733B - (733B + 141)",-3.46205676295812,0.558612804348244,31.0725131645244,-5.51086252510612,-1.41325100081013,-6.19759650335521,2.24328805560878e-06
"51","733B - ExCtrl",-0.522056762958118,0.683484392350975,30.9552595021916,-3.02984055628353,1.98572703036729,-0.76381665594792,0.576552809415169
"52","733B - InCtrl",-0.223782289424125,0.560259967829646,31.4252502780744,-2.27622622370099,1.82866164485274,-0.399425806364535,0.761509366686407
"53","(733B + 141) - ExCtrl",2.94000000000001,0.682134846065435,30.7212435269531,0.435170046976877,5.44482995302314,4.30999826054625,0.000295082075379546
"54","(733B + 141) - InCtrl",3.238274473534,0.558612804348244,31.0725131645244,1.18946871138601,5.28708023568199,5.79699292305379,6.63269156696156e-06
"55","ExCtrl - InCtrl",0.298274473533993,0.683484392350975,30.9552595021916,-2.20950931979142,2.8060582668594,0.436402757505583,0.761509366686407
