"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","522 - 702",0.599999999999228,5.84078333722947,30.6757146761047,-20.8509812906895,22.050981290688,0.102725947078844,0.953522644968895
"2","522 - 717",-2.12974269035419,5.86100936765571,31.0826216611395,-23.6252444083506,19.3657590276422,-0.363374728951516,0.909623720449779
"3","522 - 733",-1.44291955557324,5.86100936765571,31.0826216611395,-22.9384212735696,20.0525821624231,-0.246189600640475,0.924863989204623
"4","522 - 141",-46.7330809566047,5.86100936765571,31.0826216611395,-68.228582674601,-25.2375792386083,-7.97355506962736,1.3569505735166e-07
"5","522 - 522co141",-39.4500000000008,5.84078333722947,30.6757146761047,-60.9009812906895,-17.999018709312,-6.75423102044281,7.08064847942607e-07
"6","522 - 702co141",-43.6500000000008,5.84078333722947,30.6757146761047,-65.1009812906895,-22.199018709312,-7.47331264999565,1.70158163791714e-07
"7","522 - 717co141",-28.8500000000008,5.84078333722947,30.6757146761047,-50.3009812906895,-7.39901870931205,-4.9394059553809,5.76400702143523e-05
"8","522 - 733co141",-33.2000000000008,5.84078333722947,30.6757146761047,-54.6509812906895,-11.749018709312,-5.68416907170347,9.06689940226691e-06
"9","522 - InCtrl",-1.29560207896501,5.86100936765571,31.0826216611395,-22.7911037969614,20.1998996390314,-0.221054428971715,0.9276993569672
"10","522 - ExCtrl",0.749999999999224,7.15346943718126,30.6757146761043,-25.5219793220888,27.0219793220873,0.104844230703074,0.953522644968895
"11","702 - 717",-2.72974269035342,5.86100936765574,31.0826216611384,-24.22524440835,18.7657590276431,-0.465746174271215,0.864766880823184
"12","702 - 733",-2.04291955557247,5.86100936765574,31.0826216611384,-23.538421273569,19.4525821624241,-0.348561045960175,0.909623720449779
"13","702 - 141",-47.3330809566039,5.86100936765574,31.0826216611384,-68.8285826746005,-25.8375792386074,-8.07592651494702,1.3569505735166e-07
"14","702 - 522co141",-40.05,5.8407833372295,30.6757146761036,-61.500981290689,-18.5990187093111,-6.85695696752162,5.81464442850664e-07
"15","702 - 702co141",-44.25,5.8407833372295,30.6757146761036,-65.700981290689,-22.7990187093111,-7.57603859707445,1.50638236039588e-07
