"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","141 - 522co141",0.000113728947368424,0.000190931014933887,15.0616614110117,-0.000513248397172243,0.000740706291909091,0.595654652586456,0.70031361355264
"2","141 - 702co141",9.07089473684239e-05,0.000190931014933887,15.0616614110117,-0.000536268397172243,0.000717686291909091,0.475087546147667,0.712822823594369
"3","141 - 717co141",0.000300669473684213,0.000193466730451492,15.7117926630031,-0.000330283651339199,0.000931622598707625,1.55411461692945,0.35016688252498
"4","141 - 733co141",0.000462888947368424,0.000190931014933887,15.0616614110117,-0.000164088397172243,0.00108986629190909,2.42437797509591,0.281197399977985
"5","522co141 - 702co141",-2.302e-05,0.000188361166740329,14.4173764906303,-0.000646189542253244,0.000600149542253244,-0.122212027024311,0.90441829330123
"6","522co141 - 717co141",0.000186940526315789,0.000190931014933887,15.0616614110117,-0.000440036818224877,0.000813917870856456,0.979099840748873,0.571660812477388
"7","522co141 - 733co141",0.00034916,0.000188361166740329,14.4173764906303,-0.000274009542253244,0.000972329542253245,1.85367295203339,0.281197399977985
"8","702co141 - 717co141",0.000209960526315789,0.000190931014933887,15.0616614110117,-0.000417016818224877,0.000836937870856456,1.09966694718766,0.571660812477388
"9","702co141 - 733co141",0.00037218,0.000188361166740329,14.4173764906303,-0.000250989542253244,0.000995349542253244,1.9758849790577,0.281197399977985
"10","717co141 - 733co141",0.000162219473684211,0.000190931014933887,15.0616614110117,-0.000464757870856456,0.000789196818224878,0.849623481760582,0.584052795231179
