"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","141 - (522 + 141)",-3.10280394271492e-06,4.19715590505254e-06,15.0467196601432,-1.68876611223984e-05,1.06820532369686e-05,-0.739263447178542,0.787506353426631
"2","141 - (702A + 141)",4.0719605728507e-07,4.19715590505254e-06,15.0467196601432,-1.33776611223984e-05,1.41920532369686e-05,0.0970171388665565,0.995455892240429
"3","141 - (717A + 141)",-3.67130491856511e-06,4.21877005025067e-06,15.333716610369,-1.74840416501837e-05,1.01414318130535e-05,-0.870231104050568,0.787506353426631
"4","141 - (733B + 141)",-2.43039427148928e-08,4.19715590505254e-06,15.0467196601432,-1.38091611223984e-05,1.37605532369686e-05,-0.0057905742042214,0.995455892240429
"5","(522 + 141) - (702A + 141)",3.50999999999999e-06,4.17542987556286e-06,14.7615556283027,-1.02477758972381e-05,1.72677758972381e-05,0.840632007866454,0.787506353426631
"6","(522 + 141) - (717A + 141)",-5.68500975850193e-07,4.19715590505255e-06,15.0467196601433,-1.43533581555337e-05,1.32163562038333e-05,-0.135449096652767,0.995455892240429
"7","(522 + 141) - (733B + 141)",3.07850000000002e-06,4.17542987556286e-06,14.7615556283027,-1.06792758972381e-05,1.68362758972382e-05,0.737289355047552,0.787506353426631
"8","(702A + 141) - (717A + 141)",-4.07850097585018e-06,4.19715590505255e-06,15.0467196601433,-1.78633581555337e-05,9.70635620383331e-06,-0.971729682697864,0.787506353426631
"9","(702A + 141) - (733B + 141)",-4.31499999999963e-07,4.17542987556286e-06,14.7615556283027,-1.41892758972381e-05,1.33262758972382e-05,-0.103342652818902,0.995455892240429
"10","(717A + 141) - (733B + 141)",3.64700097585022e-06,4.19715590505255e-06,15.0467196601433,-1.01378562038333e-05,1.74318581555337e-05,0.868921969627086,0.787506353426631
