"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","522 - 702",0.173810905899538,0.189314724777815,30.3726425773635,-0.522204549532577,0.869826361331654,0.918105583723229,0.560063927051006
"2","522 - 717",0.134017633575864,0.19034357690697,30.9892192105157,-0.564294970281843,0.832330237433571,0.704082773653899,0.704345548283155
"3","522 - 733",0.161034536611427,0.19034357690697,30.9892192105157,-0.53727806724628,0.859347140469134,0.846020334535019,0.60058074546297
"4","522 - 141",-1.27940447710703,0.19034357690697,30.9892192105156,-1.97771708096474,-0.581091873249326,-6.72155319289989,3.84245154615407e-07
"5","522 - 522co141",-1.55336748953167,0.189314724777815,30.3726425773635,-2.24938294496379,-0.857352034099556,-8.20521220076646,3.69749205445408e-08
"6","522 - 702co141",-1.21541380800262,0.189314724777815,30.3726425773635,-1.91142926343473,-0.519398352570501,-6.42007012095367,9.01786345700453e-07
"7","522 - 717co141",-1.19564993777803,0.19034357690697,30.9892192105157,-1.89396254163573,-0.497337333920321,-6.28153551176774,1.16975628022282e-06
"8","522 - 733co141",-1.25842703638264,0.189314724777815,30.3726425773635,-1.95444249181475,-0.562411580950521,-6.6472749959601,5.00214177785623e-07
"9","522 - InCtrl",0.174411183565833,0.19034357690697,30.9892192105156,-0.523901420291874,0.87272378742354,0.91629665891524,0.560063927051006
"10","522 - ExCtrl",0.0966947665766718,0.231862238250539,30.3726425773636,-0.755746592873094,0.949136126026437,0.41703542287118,0.929703880532751
"11","702 - 717",-0.0397932723236742,0.190343576906971,30.9892192105161,-0.738105876181381,0.658519331534033,-0.209060231872825,0.957652456455405
"12","702 - 733",-0.012776369288111,0.190343576906971,30.9892192105161,-0.711088973145818,0.685536234569596,-0.0671226709917055,0.964450716478907
"13","702 - 141",-1.45321538300657,0.190343576906971,30.9892192105161,-2.15152798686428,-0.754902779148863,-7.6346961984266,9.91866871065132e-08
"14","702 - 522co141",-1.72717839543121,0.189314724777815,30.3726425773639,-2.42319385086333,-1.03116293999909,-9.12331778448967,6.73793524353723e-09
