"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","141 - 522",65.5813057455537,17.3720177675901,31.0010028520725,1.8511978814455,129.311413609662,3.77511159745098,0.00851868986235227
"2","141 - (522 + 141)",23.9873057455537,17.3720177675901,31.0010028520726,-39.7428021185545,87.7174136096619,1.38080135920108,0.304177166646588
"3","141 - 702A",72.2183057455537,17.3720177675901,31.0010028520724,8.48819788144549,135.948413609662,4.15716278395058,0.00851868986235227
"4","141 - (702A + 141)",1.86930574555387,17.3720177675901,31.0010028520725,-61.8608021185544,65.5994136096621,0.107604411333341,0.953403994274267
"5","141 - 717A",63.611461308347,17.4294193882926,31.3935815149495,-0.245724030693836,127.468646647388,3.64966037543827,0.00851868986235227
"6","141 - (717A + 141)",39.6158093098004,17.4294193882926,31.3935815149494,-24.2413760292405,103.472994648841,2.27292765336811,0.0971276018801047
"7","141 - 733B",60.9872308279115,17.4294193882926,31.3935815149495,-2.86995451112933,124.844416166952,3.49909709952111,0.00867916772713054
"8","141 - (733B + 141)",37.2983057455537,17.3720177675901,31.0010028520724,-26.4318021185545,101.028413609662,2.14703359417114,0.113374896973066
"9","141 - ExCtrl",67.7628057455537,21.2528038745111,30.8705417017255,-10.2386201509807,145.764231642088,3.18841721523732,0.0163545069332001
"10","141 - InCtrl",64.3635093815721,17.4294193882926,31.3935815149494,0.506324042531233,128.220694720613,3.6928085754139,0.00851868986235227
"11","522 - (522 + 141)",-41.594,17.3144258473084,30.6102216359672,-105.197706955638,22.0097069556378,-2.40227428658664,0.0886070072794529
"12","522 - 702A",6.63700000000001,17.3144258473084,30.6102216359672,-56.9667069556378,70.2407069556379,0.383321980095099,0.92207554720947
"13","522 - (702A + 141)",-63.7119999999999,17.3144258473084,30.6102216359672,-127.315706955638,-0.108293044362021,-3.6797061919269,0.00851868986235227
"14","522 - 717A",-1.96984443720672,17.3720177675901,31.0010028520726,-65.6999523013149,61.7602634269015,-0.113391804196847,0.953403994274267
"15","522 - (717A + 141)",-25.9654964357533,17.3720177675901,31.0010028520724,-89.6956042998616,37.764611428355,-1.49467360574519,0.285037627570901
"16","522 - 733B",-4.5940749176422,17.3720177675901,31.0010028520726,-68.3241827817504,59.136032946466,-0.264452579953786,0.953403994274267
"17","522 - (733B + 141)",-28.283,17.3144258473084,30.6102216359672,-91.8867069556378,35.3207069556378,-1.63349337999543,0.247743417434844
"18","522 - ExCtrl",2.18149999999999,21.2057542575809,30.6102216359672,-75.716813895411,80.079813895411,0.102873020855654,0.953403994274267
"19","522 - InCtrl",-1.21779636398162,17.3720177675901,31.0010028520726,-64.9479042280898,62.5123115001266,-0.070101031456092,0.962055419138997
"20","(522 + 141) - 702A",48.231,17.3144258473084,30.6102216359672,-15.3727069556378,111.834706955638,2.78559626668174,0.0384365353903362
"21","(522 + 141) - (702A + 141)",-22.1179999999999,17.3144258473084,30.6102216359672,-85.7217069556377,41.485706955638,-1.27743190534026,0.331656352252574
"22","(522 + 141) - 717A",39.6241555627933,17.3720177675901,31.0010028520726,-24.1059523013149,103.354263426902,2.28091843405305,0.0971276018801047
"23","(522 + 141) - (717A + 141)",15.6285035642467,17.3720177675901,31.0010028520725,-48.1016042998615,79.358611428355,0.89963663250471,0.557802547233423
