"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","141 - 522",216.57610796707,30.3154807299277,30.998531741198,105.361338035444,327.790877898697,7.14407631851488,5.47697321480065e-07
"2","141 - (522 + 141)",38.2791079670706,30.3154807299277,30.9985317411979,-72.9356619645559,149.493877898697,1.26269176821205,0.321254101532258
"3","141 - 702A",227.71410796707,30.3154807299277,30.9985317411979,116.499338035444,338.928877898697,7.51147936579707,5.47697321480065e-07
"4","141 - (702A + 141)",14.7376079670703,30.3154807299277,30.9985317411979,-96.4771619645562,125.952377898697,0.486141324901412,0.888865001204834
"5","141 - 717A",219.447505810163,30.4340968459239,31.4595784648938,107.968444547302,330.926567073024,7.21058051832921,5.47697321480065e-07
"6","141 - (717A + 141)",97.0957369667017,30.4340968459239,31.4595784648938,-14.3833242961592,208.574798229563,3.19036038618988,0.00569964780751572
"7","141 - 733B",218.63026197867,30.4340968459239,31.4595784648938,107.151200715809,330.109323241531,7.18372761595361,5.47697321480065e-07
"8","141 - (733B + 141)",87.0791079670701,30.3154807299277,30.9985317411979,-24.1356619645564,198.293877898697,2.87243038442419,0.0125246072164248
"9","141 - ExCtrl",220.48110796707,37.0801782406677,30.8453860528141,84.3788531894719,356.583362744669,5.94606386560616,5.34673398276493e-06
"10","141 - InCtrl",218.628204464889,30.4340968459239,31.4595784648938,107.149143202028,330.10726572775,7.18366001040606,5.47697321480065e-07
"11","522 - (522 + 141)",-178.297,30.1963986751094,30.5399071933417,-289.249085646895,-67.3449143531047,-5.904578288237,5.85392176959578e-06
"12","522 - 702A",11.1379999999999,30.1963986751094,30.5399071933418,-99.814085646895,122.090085646895,0.368851932306115,0.980341650057756
"13","522 - (702A + 141)",-201.8385,30.1963986751094,30.5399071933418,-312.790585646895,-90.886414353105,-6.68419112396914,1.05487364143949e-06
"14","522 - 717A",2.87139784309286,30.3154807299275,30.9985317411988,-108.343372088533,114.086167774719,0.094717212920797,0.996871616822439
"15","522 - (717A + 141)",-119.480371000369,30.3154807299275,30.9985317411988,-230.695140931994,-8.26560106874281,-3.94123293193953,0.000844718534797279
"16","522 - 733B",2.05415401159979,30.3154807299275,30.9985317411988,-109.160615920026,113.268923943226,0.0677592425434285,0.996871616822439
"17","522 - (733B + 141)",-129.497,30.1963986751094,30.5399071933417,-240.449085646895,-18.5449143531052,-4.28849153149986,0.000382462398431086
"18","522 - ExCtrl",3.90499999999994,36.982884411836,30.5399071933417,-131.982997866235,139.792997866235,0.105589384443745,0.996871616822439
"19","522 - InCtrl",2.05209649781833,30.3154807299275,30.9985317411988,-109.162673433807,113.266866429444,0.0676913724740142,0.996871616822439
"20","(522 + 141) - 702A",189.435,30.1963986751094,30.5399071933418,78.4829143531046,300.387085646895,6.27343022054312,3.01289005499707e-06
"21","(522 + 141) - (702A + 141)",-23.5415000000003,30.1963986751094,30.5399071933418,-134.493585646895,87.4105856468946,-0.779612835732141,0.639185322400937
"22","(522 + 141) - 717A",181.168397843093,30.3154807299275,30.9985317411988,69.9536279114668,292.383167774718,5.97610176322365,5.34673398276493e-06
"23","(522 + 141) - (717A + 141)",58.8166289996311,30.3154807299275,30.9985317411988,-52.3981409319946,170.031398931257,1.94015161836333,0.096651151484955
"24","(522 + 141) - 733B",180.351154011599,30.3154807299275,30.9985317411988,69.1363840799738,291.565923943225,5.94914379284628,5.34673398276493e-06
"25","(522 + 141) - (733B + 141)",48.7999999999995,30.1963986751094,30.5399071933417,-62.1520856468955,159.752085646894,1.61608675673715,0.177772975696809
"26","(522 + 141) - ExCtrl",182.202,36.982884411836,30.5399071933418,46.3140021337647,318.089997866235,4.92665736860934,8.39004685847299e-05
"27","(522 + 141) - InCtrl",180.349096497818,30.3154807299275,30.9985317411988,69.1343265661923,291.563866429444,5.94907592277687,5.34673398276493e-06
"28","702A - (702A + 141)",-212.9765,30.1963986751094,30.5399071933418,-323.928585646895,-102.024414353105,-7.05304305627526,6.37381289788277e-07
"29","702A - 717A",-8.26660215690706,30.3154807299275,30.9985317411988,-119.481372088533,102.948167774719,-0.272685834361394,0.983628837149948
"30","702A - (717A + 141)",-130.618371000368,30.3154807299275,30.9985317411988,-241.833140931994,-19.4036010687427,-4.30863597922172,0.000367979275491451
"31","702A - 733B",-9.08384598840013,30.3154807299275,30.9985317411988,-120.298615920026,102.130923943226,-0.299643804738763,0.980341650057756
"32","702A - (733B + 141)",-140.635,30.1963986751094,30.5399071933417,-251.587085646895,-29.6829143531051,-4.65734346380597,0.000170768248789119
"33","702A - ExCtrl",-7.23299999999998,36.982884411836,30.5399071933417,-143.120997866235,128.654997866235,-0.195576957152783,0.996871616822439
"34","702A - InCtrl",-9.08590350218159,30.3154807299275,30.9985317411988,-120.300673433807,102.128866429444,-0.299711674808177,0.980341650057756
"35","(702A + 141) - 717A",204.709897843093,30.3154807299275,30.9985317411988,93.4951279114672,315.924667774719,6.75265220653429,9.69397304073356e-07
"36","(702A + 141) - (717A + 141)",82.3581289996315,30.3154807299275,30.9985317411988,-28.8566409319942,193.572898931257,2.71670206167396,0.0178143852604745
"37","(702A + 141) - 733B",203.8926540116,30.3154807299275,30.9985317411988,92.6778840799741,315.107423943226,6.72569423615692,9.69397304073356e-07
"38","(702A + 141) - (733B + 141)",72.3414999999998,30.1963986751094,30.5399071933418,-38.6105856468952,183.293585646895,2.39569959246929,0.0370627387095338
"39","(702A + 141) - ExCtrl",205.7435,36.982884411836,30.5399071933417,69.855502133765,341.631497866235,5.56320858343201,1.45071035308492e-05
"40","(702A + 141) - InCtrl",203.890596497818,30.3154807299275,30.9985317411988,92.6758265661926,315.105366429444,6.7256263660875,9.69397304073356e-07
"41","717A - (717A + 141)",-122.351768843461,30.4340968459238,31.4595784648947,-233.830830106322,-10.8727075806012,-4.02022013213935,0.000743467065523708
"42","717A - 733B",-0.817243831493073,30.4340968459238,31.4595784648947,-112.296305094353,110.661817431367,-0.0268529023755976,0.996871616822439
"43","717A - (733B + 141)",-132.368397843093,30.3154807299275,30.9985317411988,-243.583167774719,-21.1536279114674,-4.36636314701151,0.00035277440383207
"44","717A - ExCtrl",1.03360215690708,37.0801782406677,30.8453860528147,-135.068652620691,137.135856934505,0.0278747893334956,0.996871616822439
"45","717A - InCtrl",-0.819301345274539,30.4340968459238,31.4595784648947,-112.298362608135,110.659759917586,-0.0269205079231478,0.996871616822439
"46","(717A + 141) - 733B",121.534525011968,30.4340968459238,31.4595784648947,10.0554637491081,233.013586274829,3.99336722976375,0.000743467065523708
"47","(717A + 141) - (733B + 141)",-10.0166289996317,30.3154807299275,30.9985317411988,-121.231398931257,101.198140931994,-0.330413002151182,0.980341650057756
"48","(717A + 141) - ExCtrl",123.385371000368,37.0801782406677,30.8453860528147,-12.7168837772292,259.487625777966,3.32752906956217,0.00417181225654351
"49","(717A + 141) - InCtrl",121.532467498187,30.4340968459238,31.4595784648947,10.0534062353267,233.011528761047,3.9932996242162,0.000743467065523708
"50","733B - (733B + 141)",-131.5511540116,30.3154807299275,30.9985317411988,-242.765923943226,-20.3363840799743,-4.33940517663414,0.00035277440383207
"51","733B - ExCtrl",1.85084598840015,37.0801782406677,30.8453860528147,-134.251408789198,137.953100765998,0.0499147004199197,0.996871616822439
"52","733B - InCtrl",-0.00205751378146601,30.4340968459238,31.4595784648947,-111.481118776642,111.477003749079,-6.76055475502501e-05,0.999946485463789
"53","(733B + 141) - ExCtrl",133.402,36.982884411836,30.5399071933417,-2.48599786623484,269.289997866235,3.60712805725088,0.00206731137828361
"54","(733B + 141) - InCtrl",131.549096497819,30.3154807299275,30.9985317411988,20.3343265661928,242.763866429444,4.33933730656472,0.00035277440383207
"55","ExCtrl - InCtrl",-1.85290350218162,37.0801782406677,30.8453860528147,-137.955158279779,134.249351275416,-0.0499701886586254,0.996871616822439
