"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","141 - 522",1.27940447719157,0.190343576877058,30.9892192105031,0.58109187344357,1.97771708093956,6.7215531944003,3.84245153007949e-07
"2","141 - (522 + 141)",-0.273963012458432,0.190343576877058,30.9892192105031,-0.972275616206428,0.424349591289564,-1.43930789235606,0.258966998866761
"3","141 - 702A",1.45321538304157,0.190343576877058,30.9892192105031,0.754902779293571,2.15152798678956,7.63469619981027,9.91866867679747e-08
"4","141 - (702A + 141)",0.0639906691915665,0.190343576877058,30.9892192105031,-0.63432193455643,0.762303272939563,0.336185072496026,0.929703880919721
"5","141 - 717A",1.4134221106687,0.191366897634836,31.6099322130327,0.712794667195041,2.11404955414237,7.3859279119724,1.04446131775112e-07
"6","141 - (717A + 141)",0.0837545392575675,0.191366897634837,31.6099322130326,-0.616872904216096,0.784381982731231,0.437664717841571,0.929703880919721
"7","141 - 733B",1.44043901377832,0.191366897634836,31.6099322130327,0.739811570304658,2.14106645725198,7.52710647233747,9.91866867679747e-08
"8","141 - (733B + 141)",0.0209774407415668,0.190343576877058,30.9892192105031,-0.677335163006429,0.719290044489563,0.110208293264952,0.964450716575486
"9","141 - ExCtrl",1.37609924379157,0.232703050606377,30.7832296529922,0.521784758809251,2.23041372877388,5.91354191621353,3.28277702005425e-06
"10","141 - InCtrl",1.45381566067306,0.191366897634836,31.6099322130327,0.753188217199394,2.15444310414672,7.59700699881338,9.91866867679747e-08
"11","522 - (522 + 141)",-1.55336748965,0.189314724747768,30.372642577189,-2.24938294497207,-0.857352034327924,-8.20521220269379,3.69749203619047e-08
"12","522 - 702A",0.17381090585,0.189314724747768,30.372642577189,-0.522204549472074,0.869826361172074,0.918105583607276,0.560063927286862
"13","522 - (702A + 141)",-1.215413808,0.189314724747768,30.372642577189,-1.91142926332207,-0.519398352677926,-6.42007012195882,9.01786343201096e-07
"14","522 - 717A",0.134017633477138,0.190343576877058,30.9892192105039,-0.564294970270858,0.832330237225133,0.70408277324587,0.704345548645789
"15","522 - (717A + 141)",-1.195649937934,0.190343576877058,30.9892192105039,-1.89396254168199,-0.497337334186003,-6.28153551357429,1.16975627425194e-06
"16","522 - 733B",0.161034536586754,0.190343576877058,30.9892192105039,-0.537278067161241,0.859347140334749,0.846020334538345,0.600580745460258
"17","522 - (733B + 141)",-1.25842703645,0.189314724747768,30.372642577189,-1.95444249177207,-0.562411581127926,-6.64727499737096,5.00214175849622e-07
"18","522 - ExCtrl",0.0966947666000002,0.231862238213739,30.372642577189,-0.755746592714992,0.949136125914992,0.417035423037983,0.929703880919721
"19","522 - InCtrl",0.17441118348149,0.190343576877058,30.989219210504,-0.523901420266506,0.872723787229486,0.916296658616124,0.560063927286862
"20","(522 + 141) - 702A",1.7271783955,0.189314724747768,30.372642577189,1.03116294017792,2.42319385082207,9.12331778630107,6.73793521120111e-09
"21","(522 + 141) - (702A + 141)",0.337953681649998,0.189314724747768,30.372642577189,-0.358061773672075,1.03396913697207,1.78514208073497,0.14476914219778
"22","(522 + 141) - 717A",1.68738512312714,0.190343576877058,30.9892192105039,0.989072519379141,2.38569772687513,8.86494386000221,7.23382300689724e-09
"23","(522 + 141) - (717A + 141)",0.357717551715999,0.190343576877058,30.9892192105039,-0.340595052031996,1.056030155464,1.87932557318205,0.123542017447312
"24","(522 + 141) - 733B",1.71440202623675,0.190343576877058,30.9892192105039,1.01608942248876,2.41271462998475,9.00688142129469,6.73793521120111e-09
"25","(522 + 141) - (733B + 141)",0.294940453199999,0.189314724747768,30.372642577189,-0.401075002122075,0.990955908522072,1.55793720532283,0.216013787545787
"26","(522 + 141) - ExCtrl",1.65006225625,0.231862238213739,30.372642577189,0.797620896935007,2.50250361556499,7.11656313232392,1.58008446159186e-07
"27","(522 + 141) - InCtrl",1.72777867313149,0.190343576877058,30.9892192105039,1.02946606938349,2.42609127687948,9.07715774537247,6.73793521120111e-09
"28","702A - (702A + 141)",-1.38922471385,0.189314724747768,30.372642577189,-2.08524016917207,-0.693209258527926,-7.33817570556609,1.21508256103912e-07
"29","702A - 717A",-0.0397932723728622,0.190343576877058,30.9892192105039,-0.738105876120858,0.658519331375133,-0.209060232164096,0.95765245619714
"30","702A - (717A + 141)",-1.369460843784,0.190343576877058,30.9892192105039,-2.06777344753199,-0.671148240036003,-7.19467851898425,1.32640630521754e-07
"31","702A - 733B",-0.0127763692632459,0.190343576877058,30.989219210504,-0.711088973011241,0.68553623448475,-0.0671226708716211,0.964450716575486
"32","702A - (733B + 141)",-1.4322379423,0.189314724747768,30.372642577189,-2.12825339762207,-0.736222486977926,-7.56538058097823,9.91866867679747e-08
"33","702A - ExCtrl",-0.0771161392499997,0.231862238213739,30.372642577189,-0.929557498564992,0.775325220064992,-0.332594646908012,0.929703880919721
"34","702A - InCtrl",0.000600277631489954,0.190343576877058,30.9892192105039,-0.697712326116506,0.698912881379486,0.0031536532061582,0.99750396732396
"35","(702A + 141) - 717A",1.34943144147714,0.190343576877058,30.9892192105039,0.651118837729142,2.04774404522513,7.08945089515013,1.58008446159186e-07
"36","(702A + 141) - (717A + 141)",0.019763870066001,0.190343576877058,30.9892192105039,-0.678548733681995,0.718076473813997,0.103832608329969,0.964450716575486
"37","(702A + 141) - 733B",1.37644834458675,0.190343576877058,30.9892192105039,0.678135740838759,2.07476094833475,7.2313884564426,1.32640630521754e-07
"38","(702A + 141) - (733B + 141)",-0.0430132284499997,0.189314724747768,30.372642577189,-0.739028683772074,0.653002226872074,-0.227204875412138,0.95765245619714
"39","(702A + 141) - ExCtrl",1.3121085746,0.231862238213739,30.372642577189,0.459667215285008,2.16454993391499,5.65900072693361,6.59950658175722e-06
"40","(702A + 141) - InCtrl",1.38982499148149,0.190343576877058,30.9892192105039,0.691512387733494,2.08813759522949,7.30166478052038,1.21508256103912e-07
"41","717A - (717A + 141)",-1.32966757141114,0.191366897634837,31.6099322130336,-2.0302950148848,-0.629040127937474,-6.94826319413081,1.92208693203422e-07
"42","717A - 733B",0.0270169031096164,0.191366897634837,31.6099322130336,-0.673610540364046,0.727644346583279,0.141178560365072,0.964450716575486
"43","717A - (733B + 141)",-1.39244466992714,0.190343576877058,30.9892192105039,-2.09075727367513,-0.694132066179142,-7.3154276743812,1.21508256103912e-07
"44","717A - ExCtrl",-0.0373228668771375,0.232703050606377,30.7832296529928,-0.891637351859453,0.816991618105178,-0.160388386743885,0.964450716575486
"45","717A - InCtrl",0.0403935500043522,0.191366897634837,31.6099322130336,-0.66023389346931,0.741020993478015,0.211079086840977,0.95765245619714
"46","(717A + 141) - 733B",1.35668447452075,0.191366897634837,31.6099322130336,0.656057031047091,2.05731191799442,7.08944175449589,1.50014747937815e-07
"47","(717A + 141) - (733B + 141)",-0.0627770985160007,0.190343576877058,30.9892192105039,-0.761089702263996,0.635535505231995,-0.329809387561042,0.929703880919721
"48","(717A + 141) - ExCtrl",1.292344704534,0.232703050606377,30.7832296529927,0.438030219551684,2.14665918951631,5.55362167004863,8.23417607726999e-06
"49","(717A + 141) - InCtrl",1.37006112141549,0.191366897634837,31.6099322130336,0.669433677941827,2.07068856488915,7.15934228097179,1.32640630521754e-07
"50","733B - (733B + 141)",-1.41946157303675,0.190343576877058,30.9892192105039,-2.11777417678475,-0.721148969288758,-7.45736523567368,1.04446131775112e-07
"51","733B - ExCtrl",-0.0643397699867538,0.232703050606377,30.7832296529928,-0.918654254969069,0.789974714995562,-0.276488725949649,0.95765245619714
"52","733B - InCtrl",0.0133766468947358,0.191366897634837,31.6099322130336,-0.687250796578926,0.714004090368398,0.0699005264759056,0.964450716575486
"53","(733B + 141) - ExCtrl",1.35512180305,0.231862238213739,30.372642577189,0.502680443735008,2.20756316236499,5.84451273087773,4.04534399752453e-06
"54","(733B + 141) - InCtrl",1.43283821993149,0.190343576877058,30.9892192105039,0.734525616183494,2.13115082367949,7.52764155975146,9.91866867679747e-08
"55","ExCtrl - InCtrl",0.0777164168814897,0.232703050606377,30.7832296529928,-0.776598068100826,0.932030901863805,0.333972488452457,0.929703880919721
