"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","141 - 522",40.3842781651762,3.70274712499103,30.9929357816776,26.8001972217248,53.9683591086276,10.9065720131439,4.27659634862168e-11
"2","141 - (522 + 141)",7.38427816517621,3.70274712499103,30.9929357816776,-6.19980277827521,20.9683591086276,1.99427017722527,0.0916387016275011
"3","141 - 702A",40.3842781651762,3.70274712499103,30.9929357816776,26.8001972217248,53.9683591086276,10.9065720131439,4.27659634862168e-11
"4","141 - (702A + 141)",6.7342781651762,3.70274712499103,30.9929357816776,-6.84980277827521,20.3183591086276,1.81872483803293,0.127193523213487
"5","141 - 717A",40.3842781651762,3.7208022549246,31.5598960617119,26.7595633267196,54.0089930036328,10.8536480571431,4.27659634862168e-11
"6","141 - (717A + 141)",9.04700248640268,3.7208022549246,31.5598960617119,-4.5777123520539,22.6717173248593,2.43146554602,0.0359232093429153
"7","141 - 733B",40.3842781651762,3.7208022549246,31.5598960617118,26.7595633267196,54.0089930036328,10.8536480571431,4.27659634862168e-11
"8","141 - (733B + 141)",10.1342781651762,3.70274712499103,30.9929357816776,-3.44980277827521,23.7183591086276,2.73696199688515,0.0180527547513515
"9","141 - ExCtrl",40.3842781651762,4.52752557509427,30.8047288735352,23.763755549751,57.0048007806014,8.91972391880643,1.6905888011038e-09
"10","141 - InCtrl",40.3842781651762,3.7208022549246,31.5598960617119,26.7595633267196,54.0089930036328,10.8536480571431,4.27659634862168e-11
"11","522 - (522 + 141)",-33,3.68460352317678,30.4294996907002,-46.5437375250952,-19.4562624749048,-8.95618749545899,1.6905888011038e-09
"12","522 - 702A",-7.105427357601e-15,3.68460352317678,30.4294996907001,-13.5437375250952,13.5437375250952,-1.9284102924254e-15,1
"13","522 - (702A + 141)",-33.65,3.68460352317678,30.4294996907001,-47.1937375250952,-20.1062624749048,-9.13259724915743,1.6905888011038e-09
"14","522 - 717A",0,3.70274712499103,30.9929357816783,-13.5840809434514,13.5840809434514,0,1
"15","522 - (717A + 141)",-31.3372756787735,3.70274712499103,30.9929357816783,-44.9213566222249,-17.7531947353221,-8.46325028983701,3.85335463022061e-09
"16","522 - 733B",0,3.70274712499103,30.9929357816783,-13.5840809434514,13.5840809434514,0,1
"17","522 - (733B + 141)",-30.25,3.68460352317678,30.4294996907002,-43.7937375250952,-16.7062624749048,-8.20983853750408,6.92656645395569e-09
"18","522 - ExCtrl",7.105427357601e-15,4.51269926812214,30.4294996907002,-16.5876230733342,16.5876230733342,1.57454041039118e-15,1
"19","522 - InCtrl",-7.105427357601e-15,3.70274712499103,30.9929357816783,-13.5840809434514,13.5840809434514,-1.91896100861012e-15,1
"20","(522 + 141) - 702A",33,3.68460352317678,30.4294996907002,19.4562624749047,46.5437375250952,8.95618749545899,1.6905888011038e-09
"21","(522 + 141) - (702A + 141)",-0.650000000000008,3.68460352317678,30.4294996907001,-14.1937375250952,12.8937375250952,-0.176409753698437,1
"22","(522 + 141) - 717A",33,3.70274712499103,30.9929357816783,19.4159190565486,46.5840809434514,8.91230183591862,1.6905888011038e-09
"23","(522 + 141) - (717A + 141)",1.66272432122647,3.70274712499103,30.9929357816782,-11.9213566222249,15.2468052646779,0.449051546081614,0.950224668537527
"24","(522 + 141) - 733B",33,3.70274712499103,30.9929357816783,19.4159190565486,46.5840809434514,8.91230183591862,1.6905888011038e-09
"25","(522 + 141) - (733B + 141)",2.75,3.68460352317678,30.4294996907002,-10.7937375250952,16.2937375250952,0.746348957954915,0.704587085382138
"26","(522 + 141) - ExCtrl",33,4.51269926812214,30.4294996907002,16.4123769266658,49.5876230733342,7.31269646818992,6.89321496552668e-08
"27","(522 + 141) - InCtrl",33,3.70274712499103,30.9929357816782,19.4159190565486,46.5840809434514,8.91230183591862,1.6905888011038e-09
"28","702A - (702A + 141)",-33.65,3.68460352317678,30.4294996907001,-47.1937375250952,-20.1062624749048,-9.13259724915743,1.6905888011038e-09
"29","702A - 717A",7.105427357601e-15,3.70274712499103,30.9929357816783,-13.5840809434514,13.5840809434514,1.91896100861012e-15,1
"30","702A - (717A + 141)",-31.3372756787735,3.70274712499103,30.9929357816782,-44.9213566222249,-17.7531947353221,-8.46325028983701,3.85335463022061e-09
"31","702A - 733B",7.105427357601e-15,3.70274712499103,30.9929357816783,-13.5840809434514,13.5840809434514,1.91896100861012e-15,1
"32","702A - (733B + 141)",-30.25,3.68460352317678,30.4294996907001,-43.7937375250952,-16.7062624749048,-8.20983853750408,6.92656645395569e-09
"33","702A - ExCtrl",1.4210854715202e-14,4.51269926812214,30.4294996907002,-16.5876230733342,16.5876230733342,3.14908082078236e-15,1
"34","702A - InCtrl",0,3.70274712499103,30.9929357816783,-13.5840809434514,13.5840809434514,0,1
"35","(702A + 141) - 717A",33.65,3.70274712499103,30.9929357816783,20.0659190565486,47.2340809434514,9.08784717511096,1.6905888011038e-09
"36","(702A + 141) - (717A + 141)",2.31272432122648,3.70274712499103,30.9929357816782,-11.2713566222249,15.8968052646779,0.624596885273953,0.797956425398131
"37","(702A + 141) - 733B",33.65,3.70274712499103,30.9929357816782,20.0659190565486,47.2340809434514,9.08784717511096,1.6905888011038e-09
"38","(702A + 141) - (733B + 141)",3.4,3.68460352317678,30.4294996907001,-10.1437375250952,16.9437375250952,0.922758711653352,0.571044875381352
"39","(702A + 141) - ExCtrl",33.65,4.51269926812214,30.4294996907002,17.0623769266658,50.2376230733342,7.456734428927,4.85296904629893e-08
"40","(702A + 141) - InCtrl",33.65,3.70274712499103,30.9929357816782,20.0659190565486,47.2340809434514,9.08784717511096,1.6905888011038e-09
"41","717A - (717A + 141)",-31.3372756787735,3.72080225492461,31.5598960617125,-44.9619905172301,-17.712560840317,-8.42218251112313,3.85335463022061e-09
"42","717A - 733B",0,3.72080225492461,31.5598960617125,-13.6247148384566,13.6247148384566,0,1
"43","717A - (733B + 141)",-30.25,3.70274712499103,30.9929357816782,-43.8340809434514,-16.6659190565486,-8.16961001625874,6.92656645395569e-09
"44","717A - ExCtrl",7.105427357601e-15,4.52752557509427,30.8047288735356,-16.6205226154252,16.6205226154252,1.56938425631158e-15,1
"45","717A - InCtrl",-7.105427357601e-15,3.72080225492461,31.5598960617125,-13.6247148384566,13.6247148384566,-1.90964928281172e-15,1
"46","(717A + 141) - 733B",31.3372756787735,3.72080225492461,31.5598960617125,17.712560840317,44.9619905172301,8.42218251112313,3.85335463022061e-09
"47","(717A + 141) - (733B + 141)",1.08727567877352,3.70274712499103,30.9929357816782,-12.4968052646779,14.6713566222249,0.29364027357827,1
"48","(717A + 141) - ExCtrl",31.3372756787735,4.52752557509427,30.8047288735355,14.7167530633483,47.9577982941987,6.92150163682312,1.80492561712165e-07
"49","(717A + 141) - InCtrl",31.3372756787735,3.72080225492461,31.5598960617125,17.712560840317,44.9619905172301,8.42218251112313,3.85335463022061e-09
"50","733B - (733B + 141)",-30.25,3.70274712499103,30.9929357816783,-43.8340809434514,-16.6659190565486,-8.16961001625874,6.92656645395569e-09
"51","733B - ExCtrl",7.105427357601e-15,4.52752557509427,30.8047288735356,-16.6205226154252,16.6205226154252,1.56938425631158e-15,1
"52","733B - InCtrl",-7.105427357601e-15,3.72080225492461,31.5598960617125,-13.6247148384566,13.6247148384566,-1.90964928281172e-15,1
"53","(733B + 141) - ExCtrl",30.25,4.51269926812214,30.4294996907002,13.6623769266658,46.8376230733342,6.70330509584076,3.39619270699339e-07
"54","(733B + 141) - InCtrl",30.25,3.70274712499103,30.9929357816782,16.6659190565486,43.8340809434514,8.16961001625874,6.92656645395569e-09
