sample,treatment,replicate,rack,empty_mass,full_mass,full_nod_mass,nods_in_tube,nod_mass,total_nod
141-1-r4,141,1,4,1.393018,1.409418,0.0164,10,0.00164,58
141-2-r4,141,2,4,1.447768,1.465102,0.017334,10,0.0017334,46
141-3-r4,141,3,4,1.571666,1.587976,0.01631,10,0.001631,46
141-4-r4,141,4,4,1.365458,1.380596,0.015138,10,0.0015138,57
141-5-r4,141,5,4,1.291768,1.304314,0.012546,10,0.0012546,37
141-6-r12,141,6,12,1.389999,1.414098,0.024099,10,0.0024099,27
141-7-r12,141,7,12,1.570308,1.575804,0.005496,10,0.0005496,20
141-8-r12,141,8,12,1.397534,1.436528,0.038994,10,0.0038994,36
141-9-r12,141,9,12,1.444692,1.456669,0.011977,10,0.0011977,42
141-10-r12,141,10,12,1.48119,1.501966,0.020776,10,0.0020776,37
141-11-r16,141,11,16,1.455612,1.472758,0.017146,10,0.0017146,41
141-12-r16,141,12,16,1.400246,1.419604,0.019358,10,0.0019358,44
141-13-r16,141,13,16,NA,NA,NA,NA,NA,NA
141-14-r16,141,14,16,1.516416,1.531932,0.015516,10,0.0015516,35
141-15-r16,141,15,16,1.46724,1.48605,0.01881,10,0.001881,37
141-16-r19,141,16,19,1.42007,1.434214,0.014144,10,0.0014144,55
141-17-r19,141,17,19,1.414996,1.440308,0.025312,10,0.0025312,30
141-18-r19,141,18,19,1.411944,1.430958,0.019014,10,0.0019014,35
141-19-r19,141,19,19,1.303682,1.317214,0.013532,10,0.0013532,42
141-20-r19,141,20,19,1.491648,1.504066,0.012418,10,0.0012418,43
522-1-r11,522,1,11,NA,NA,NA,NA,NA,0
522-2-r11,522,2,11,NA,NA,NA,NA,NA,0
522-3-r11,522,3,11,NA,NA,NA,NA,NA,0
522-4-r11,522,4,11,NA,NA,NA,NA,NA,0
522-5-r11,522,5,11,NA,NA,NA,NA,NA,0
522-6-r3,522,6,3,NA,NA,NA,NA,NA,0
522-7-r3,522,7,3,NA,NA,NA,NA,NA,0
522-8-r3,522,8,3,NA,NA,NA,NA,NA,0
522-9-r3,522,9,3,NA,NA,NA,NA,NA,0
522-10-r3,522,10,3,NA,NA,NA,NA,NA,0
522-11-r36,522,11,36,NA,NA,NA,NA,NA,0
522-12-r36,522,12,36,NA,NA,NA,NA,NA,0
522-13-r36,522,13,36,NA,NA,NA,NA,NA,0
522-14-r36,522,14,36,NA,NA,NA,NA,NA,0
522-15-r36,522,15,36,NA,NA,NA,NA,NA,0
522-16-r9,522,16,9,NA,NA,NA,NA,NA,0
522-17-r9,522,17,9,NA,NA,NA,NA,NA,0
522-18-r9,522,18,9,NA,NA,NA,NA,NA,0
522-19-r9,522,19,9,NA,NA,NA,NA,NA,0
522-20-r9,522,20,9,NA,NA,NA,NA,NA,0
702-1-r31,702,1,31,NA,NA,NA,NA,NA,0
702-2-r31,702,2,31,NA,NA,NA,NA,NA,0
702-3-r31,702,3,31,NA,NA,NA,NA,NA,0
702-4-r31,702,4,31,NA,NA,NA,NA,NA,0
702-5-r31,702,5,31,NA,NA,NA,NA,NA,0
702-6-r37,702,6,37,NA,NA,NA,NA,NA,0
702-7-r37,702,7,37,NA,NA,NA,NA,NA,0
702-8-r37,702,8,37,NA,NA,NA,NA,NA,0
702-9-r37,702,9,37,NA,NA,NA,NA,NA,0
702-10-r37,702,10,37,NA,NA,NA,NA,NA,0
702-11-r35,702,11,35,NA,NA,NA,NA,NA,0
702-12-r35,702,12,35,NA,NA,NA,NA,NA,0
702-13-r35,702,13,35,NA,NA,NA,NA,NA,0
702-14-r35,702,14,35,NA,NA,NA,NA,NA,0
702-15-r35,702,15,35,NA,NA,NA,NA,NA,0
702-16-r13,702,16,13,NA,NA,NA,NA,NA,0
702-17-r13,702,17,13,NA,NA,NA,NA,NA,0
702-18-r13,702,18,13,NA,NA,NA,NA,NA,0
702-19-r13,702,19,13,NA,NA,NA,NA,NA,0
702-20-r13,702,20,13,NA,NA,NA,NA,NA,0
717-1-r24,717,1,24,NA,NA,NA,NA,NA,0
717-2-r24,717,2,24,NA,NA,NA,NA,NA,0
717-3-r24,717,3,24,NA,NA,NA,NA,NA,0
717-4-r24,717,4,24,NA,NA,NA,NA,NA,0
717-5-r24,717,5,24,NA,NA,NA,NA,NA,0
717-6-r33,717,6,33,1.40642,1.41987,0.01345,10,0.001345,46
717-7-r33,717,7,33,NA,NA,NA,NA,NA,0
717-8-r33,717,8,33,NA,NA,NA,NA,NA,0
717-9-r33,717,9,33,NA,NA,NA,NA,NA,0
717-10-r33,717,10,33,NA,NA,NA,NA,NA,0
717-11-r21,717,11,21,NA,NA,NA,NA,NA,0
717-12-r21,717,12,21,NA,NA,NA,NA,NA,0
717-13-r21,717,13,21,NA,NA,NA,NA,NA,0
717-14-r21,717,14,21,NA,NA,NA,NA,NA,0
717-15-r21,717,15,21,NA,NA,NA,NA,NA,0
717-16-r30,717,16,30,NA,NA,NA,NA,NA,0
717-17-r30,717,17,30,NA,NA,NA,NA,NA,0
717-18-r30,717,18,30,NA,NA,NA,NA,NA,0
717-19-r30,717,19,30,NA,NA,NA,NA,NA,0
717-20-r30,717,20,30,NA,NA,NA,NA,NA,0
733-1-r5,733,1,5,NA,NA,NA,NA,NA,0
733-2-r5,733,2,5,NA,NA,NA,NA,NA,0
733-3-r5,733,3,5,NA,NA,NA,NA,NA,0
