sample,treatment,replicate,rack,height1,leaf1
141-1-r4,141,1,4,2.3,6
141-2-r4,141,2,4,2.2,6
141-3-r4,141,3,4,3.3,6
141-4-r4,141,4,4,2.7,6
141-5-r4,141,5,4,3.2,6
141-6-r12,141,6,12,1.6,3
141-7-r12,141,7,12,1.1,4
141-8-r12,141,8,12,2.1,6
141-9-r12,141,9,12,2.2,6
141-10-r12,141,10,12,1.7,5
141-11-r16,141,11,16,2.5,6
141-12-r16,141,12,16,2.8,6
141-13-r16,141,13,16,0.2,2
141-14-r16,141,14,16,2.3,7
141-15-r16,141,15,16,2.1,6
141-16-r19,141,16,19,2.9,6
141-17-r19,141,17,19,2.8,6
141-18-r19,141,18,19,2.6,6
141-19-r19,141,19,19,2.7,6
141-20-r19,141,20,19,2.6,6
522-1-r11,522,1,11,2.5,6
522-2-r11,522,2,11,3.1,6
522-3-r11,522,3,11,2.2,6
522-4-r11,522,4,11,1.4,5
522-5-r11,522,5,11,2.5,6
522-6-r3,522,6,3,3.1,8
522-7-r3,522,7,3,2.5,6
522-8-r3,522,8,3,2,6
522-9-r3,522,9,3,2.3,6
522-10-r3,522,10,3,3,6
522-11-r36,522,11,36,2.5,8
522-12-r36,522,12,36,2.5,6
522-13-r36,522,13,36,2.1,6
522-14-r36,522,14,36,2,3
522-15-r36,522,15,36,3,6
522-16-r9,522,16,9,1.7,3
522-17-r9,522,17,9,3.1,6
522-18-r9,522,18,9,2.6,3
522-19-r9,522,19,9,2.2,6
522-20-r9,522,20,9,1.7,6
702-1-r31,702,1,31,1.8,6
702-2-r31,702,2,31,1.9,6
702-3-r31,702,3,31,2.3,6
702-4-r31,702,4,31,2,3
702-5-r31,702,5,31,1.7,6
702-6-r37,702,6,37,2.5,6
702-7-r37,702,7,37,1.4,6
702-8-r37,702,8,37,2.1,6
702-9-r37,702,9,37,1.5,6
702-10-r37,702,10,37,2.5,6
702-11-r35,702,11,35,1.7,6
702-12-r35,702,12,35,1.7,6
702-13-r35,702,13,35,2.4,6
702-14-r35,702,14,35,2,6
702-15-r35,702,15,35,2.1,3
702-16-r13,702,16,13,1.8,3
702-17-r13,702,17,13,1.4,3
702-18-r13,702,18,13,2.6,6
702-19-r13,702,19,13,1.9,6
702-20-r13,702,20,13,3,6
717-1-r24,717,1,24,2.5,6
717-2-r24,717,2,24,2.7,3
717-3-r24,717,3,24,2.4,3
717-4-r24,717,4,24,1.8,3
717-5-r24,717,5,24,0.6,5
717-6-r33,717,6,33,3,6
717-7-r33,717,7,33,1.5,6
