sample,treatment,replicate,rack,height3,leaf3,chloro3
141-1-r4,141,1,4,6.2,42,43.5
141-2-r4,141,2,4,5.7,33,45.6
141-3-r4,141,3,4,6.2,32,43.9
141-4-r4,141,4,4,6.1,36,40.8
141-5-r4,141,5,4,6.1,45,42.5
141-6-r12,141,6,12,4.6,18,35.9
141-7-r12,141,7,12,4.3,13,32.5
141-8-r12,141,8,12,6,33,41.1
141-9-r12,141,9,12,5.3,33,43.9
141-10-r12,141,10,12,4.9,32,41.6
141-11-r16,141,11,16,5.9,19,39.1
141-12-r16,141,12,16,6,31,34.8
141-13-r16,141,13,16,NA,NA,NA
141-14-r16,141,14,16,5.3,17,30.5
141-15-r16,141,15,16,4.3,15,35.9
141-16-r19,141,16,19,5.1,17,33.7
141-17-r19,141,17,19,6.4,28,39
141-18-r19,141,18,19,5.7,21,39.1
141-19-r19,141,19,19,5.8,18,34.7
141-20-r19,141,20,19,5.3,24,32.2
522-1-r11,522,1,11,5,18,28
522-2-r11,522,2,11,5.1,17,27.5
522-3-r11,522,3,11,4.3,15,24.1
522-4-r11,522,4,11,3.8,15,28.8
522-5-r11,522,5,11,5.1,17,25.3
522-6-r3,522,6,3,4.2,17,25.2
522-7-r3,522,7,3,3.7,18,29.4
522-8-r3,522,8,3,3.8,15,30.2
522-9-r3,522,9,3,4.1,15,27.5
522-10-r3,522,10,3,4,17,30.7
522-11-r36,522,11,36,3.9,15,26.6
522-12-r36,522,12,36,3.8,14,29.4
522-13-r36,522,13,36,4,18,27.7
522-14-r36,522,14,36,3.5,15,24
522-15-r36,522,15,36,3.9,18,27.1
522-16-r9,522,16,9,3.7,15,25.1
522-17-r9,522,17,9,4.9,15,24.3
522-18-r9,522,18,9,4.2,12,30.5
522-19-r9,522,19,9,4.1,14,25.9
522-20-r9,522,20,9,4,15,31.5
702-1-r31,702,1,31,4,16,24.1
702-2-r31,702,2,31,3.7,16,28.3
702-3-r31,702,3,31,3.2,15,24.9
702-4-r31,702,4,31,3.6,12,29.4
702-5-r31,702,5,31,3.8,15,22.4
702-6-r37,702,6,37,3.5,15,34.5
702-7-r37,702,7,37,3.2,12,28.2
702-8-r37,702,8,37,3.2,15,26.2
702-9-r37,702,9,37,3,13,35.5
702-10-r37,702,10,37,3.8,14,27.7
702-11-r35,702,11,35,3.9,11,30.5
702-12-r35,702,12,35,3,15,25.9
702-13-r35,702,13,35,3.6,15,26.2
702-14-r35,702,14,35,3,15,27
702-15-r35,702,15,35,3.7,13,25.8
702-16-r13,702,16,13,3.2,12,28.7
702-17-r13,702,17,13,3.1,12,30.2
702-18-r13,702,18,13,3.7,15,27.7
702-19-r13,702,19,13,3.3,15,22.3
702-20-r13,702,20,13,4,15,26.8
717-1-r24,717,1,24,3.3,15,31.1
717-2-r24,717,2,24,3.9,15,27
717-3-r24,717,3,24,4.1,15,29
717-4-r24,717,4,24,4,15,30
717-5-r24,717,5,24,4,20,26.9
717-6-r33,717,6,33,5.4,17,43.8
717-7-r33,717,7,33,3.4,20,29.2
717-8-r33,717,8,33,3.9,15,27.4
717-9-r33,717,9,33,3.1,18,26.7
717-10-r33,717,10,33,3.7,24,29.4
717-11-r21,717,11,21,4.2,15,28.1
717-12-r21,717,12,21,4.5,15,31.4
717-13-r21,717,13,21,3.1,14,30.3
717-14-r21,717,14,21,4.5,15,33
717-15-r21,717,15,21,4.3,18,32.3
717-16-r30,717,16,30,4.4,15,29.9
717-17-r30,717,17,30,4.3,18,34.5
717-18-r30,717,18,30,5.3,15,29.3
717-19-r30,717,19,30,4.5,15,28.6
717-20-r30,717,20,30,4.6,15,28.6
733-1-r5,733,1,5,3.2,15,29.3
733-2-r5,733,2,5,4.2,19,26.2
733-3-r5,733,3,5,3.4,15,27.2
733-4-r5,733,4,5,3.2,15,26.8
733-5-r5,733,5,5,3.9,15,30.7
733-6-r1,733,6,1,4.5,30,29
733-7-r1,733,7,1,4.4,18,26.5
733-8-r1,733,8,1,4.7,15,31.1
733-9-r1,733,9,1,3.9,15,30.2
733-10-r1,733,10,1,4.3,16,30.2
733-11-r25,733,11,25,2.8,13,28.2
733-12-r25,733,12,25,2.6,15,26.5
733-13-r25,733,13,25,3.7,15,29.7
733-14-r25,733,14,25,3.5,15,26
733-15-r25,733,15,25,3.4,15,24.8
733-16-r27,733,16,27,3.2,12,31.5
733-17-r27,733,17,27,6.6,18,34.2
733-18-r27,733,18,27,3,15,31.2
733-19-r27,733,19,27,3.7,13,28.1
733-20-r27,733,20,27,2.4,12,25.7
522co141-1-r20,522co141,1,20,6.2,17,30.7
522co141-2-r20,522co141,2,20,7.1,18,36.8
522co141-3-r20,522co141,3,20,7.4,34,39
522co141-4-r20,522co141,4,20,7.3,18,31.3
522co141-5-r20,522co141,5,20,5.6,19,32.1
522co141-6-r18,522co141,6,18,6.8,27,42.9
522co141-7-r18,522co141,7,18,6.8,22,40.8
522co141-8-r18,522co141,8,18,6.9,33,42.2
522co141-9-r18,522co141,9,18,5.6,24,37.5
522co141-10-r18,522co141,10,18,6.3,22,41.2
522co141-11-r39,522co141,11,39,5.1,15,37.6
522co141-12-r39,522co141,12,39,6,28,37.6
522co141-13-r39,522co141,13,39,5,18,37.7
522co141-14-r39,522co141,14,39,5.6,22,35.6
522co141-15-r39,522co141,15,39,4,15,32.9
522co141-16-r22,522co141,16,22,5.4,29,41.1
522co141-17-r22,522co141,17,22,5.3,21,43.3
522co141-18-r22,522co141,18,22,5.3,27,42.1
522co141-19-r22,522co141,19,22,5.3,21,40
522co141-20-r22,522co141,20,22,6.1,36,42.2
702co141-1-r10,702co141,1,10,5.2,13,32.1
702co141-2-r10,702co141,2,10,5.4,13,35.3
702co141-3-r10,702co141,3,10,6.2,16,33.7
702co141-4-r10,702co141,4,10,6.6,19,40.2
702co141-5-r10,702co141,5,10,6.6,16,34.9
702co141-6-r14,702co141,6,14,5.9,30,38.5
702co141-7-r14,702co141,7,14,5.5,26,46.2
702co141-8-r14,702co141,8,14,4.3,29,43.2
702co141-9-r14,702co141,9,14,5.8,35,46.2
702co141-10-r14,702co141,10,14,4.7,18,36.1
702co141-11-r32,702co141,11,32,5.9,33,43.5
702co141-12-r32,702co141,12,32,4.8,29,46.7
702co141-13-r32,702co141,13,32,5.6,30,41.1
702co141-14-r32,702co141,14,32,5.8,33,40.4
702co141-15-r32,702co141,15,32,6.3,39,41.7
702co141-16-r2,702co141,16,2,5.9,24,38.6
702co141-17-r2,702co141,17,2,6.8,33,45.6
702co141-18-r2,702co141,18,2,6.3,30,43
702co141-19-r2,702co141,19,2,5.4,24,39
702co141-20-r2,702co141,20,2,6.2,34,42.5
717co141-1-r29,717co141,1,29,6.1,17,33.5
717co141-2-r29,717co141,2,29,5.3,18,34.5
717co141-3-r29,717co141,3,29,6.3,18,32.9
717co141-4-r29,717co141,4,29,7.2,24,40.5
717co141-5-r29,717co141,5,29,6.2,31,34.8
717co141-6-r8,717co141,6,8,0.5,1,NA
717co141-7-r8,717co141,7,8,4.2,15,31.9
717co141-8-r8,717co141,8,8,5.8,24,36.3
717co141-9-r8,717co141,9,8,4.3,15,32.1
717co141-10-r8,717co141,10,8,4.9,16,30.8
717co141-11-r28,717co141,11,28,5.6,24,39.7
717co141-12-r28,717co141,12,28,7.3,34,44.6
717co141-13-r28,717co141,13,28,4.4,13,39.4
717co141-14-r28,717co141,14,28,6.5,36,44.1
717co141-15-r28,717co141,15,28,4.4,15,34
717co141-16-r26,717co141,16,26,5.2,22,33.8
717co141-17-r26,717co141,17,26,5.5,27,34.5
717co141-18-r26,717co141,18,26,4,15,36.4
717co141-19-r26,717co141,19,26,4.5,18,32.3
717co141-20-r26,717co141,20,26,3,15,30.2
733co141-1-r7,733co141,1,7,4.3,13,25.7
733co141-2-r7,733co141,2,7,5.2,21,35.6
733co141-3-r7,733co141,3,7,5.3,16,33.1
733co141-4-r7,733co141,4,7,4.5,16,34.2
733co141-5-r7,733co141,5,7,5.1,17,34.1
733co141-6-r17,733co141,6,17,5.9,21,40.6
733co141-7-r17,733co141,7,17,4.7,15,39.6
733co141-8-r17,733co141,8,17,3.2,12,32.1
733co141-9-r17,733co141,9,17,5.5,17,39
733co141-10-r17,733co141,10,17,6.4,36,45.1
733co141-11-r38,733co141,11,38,5.9,28,39.3
733co141-12-r38,733co141,12,38,5,15,38.3
733co141-13-r38,733co141,13,38,5,18,33.8
733co141-14-r38,733co141,14,38,6.1,30,42.1
733co141-15-r38,733co141,15,38,5.9,27,46
733co141-16-r40,733co141,16,40,6.5,29,38.4
733co141-17-r40,733co141,17,40,6.1,32,29.2
733co141-18-r40,733co141,18,40,5.2,19,36
733co141-19-r40,733co141,19,40,5.4,13,33.4
733co141-20-r40,733co141,20,40,6.3,25,34.1
InCtrl-1-r15,InCtrl,1,15,3.8,15,27.7
InCtrl-2-r15,InCtrl,2,15,4.1,16,27.5
InCtrl-3-r15,InCtrl,3,15,2.7,12,24.9
InCtrl-4-r15,InCtrl,4,15,3.7,15,21.7
InCtrl-5-r15,InCtrl,5,15,4.2,15,23.1
InCtrl-6-r23,InCtrl,6,23,4.3,15,32.4
InCtrl-7-r23,InCtrl,7,23,4.1,15,27.4
InCtrl-8-r23,InCtrl,8,23,4.4,15,26.1
InCtrl-9-r23,InCtrl,9,23,4.4,15,30.6
InCtrl-10-r23,InCtrl,10,23,4.2,18,29.1
InCtrl-11-r34,InCtrl,11,34,3.2,11,27.8
InCtrl-12-r34,InCtrl,12,34,4.3,17,28.1
InCtrl-13-r34,InCtrl,13,34,4,15,28.1
InCtrl-14-r34,InCtrl,14,34,4.4,12,26.4
InCtrl-15-r34,InCtrl,15,34,3.8,15,28.6
InCtrl-16-r6,InCtrl,16,6,3.3,13,33.8
InCtrl-17-r6,InCtrl,17,6,3.9,15,27.3
InCtrl-18-r6,InCtrl,18,6,4.3,15,28
InCtrl-19-r6,InCtrl,19,6,4,15,28.3
InCtrl-20-r6,InCtrl,20,6,4.5,15,26.4
ExCtrl-1-r41,ExCtrl,1,41,5,15,25.1
ExCtrl-2-r41,ExCtrl,2,41,4.9,16,27.1
ExCtrl-3-r41,ExCtrl,3,41,3.8,15,24
ExCtrl-4-r41,ExCtrl,4,41,4,15,28.9
ExCtrl-5-r41,ExCtrl,5,41,5.3,15,29.2
ExCtrl-6-r42,ExCtrl,6,42,4.2,13,28.8
ExCtrl-7-r42,ExCtrl,7,42,3.5,15,34.9
ExCtrl-8-r42,ExCtrl,8,42,4.7,14,28.4
ExCtrl-9-r42,ExCtrl,9,42,3.1,13,29.8
ExCtrl-10-r42,ExCtrl,10,42,4.9,15,25.2
